Organization
Alpha Chi Omega
Alpha Chi Rho
Alpha Delta Gamma
Alpha Delta Phi
Alpha Delta Pi
Alpha Epsilon Phi
Alpha Epsilon Pi
Alpha Gamma Delta
Alpha Gamma Omega
Alpha Gamma Rho
Alpha Kappa Lambda
Alpha Omicron Pi
Alpha Phi
Alpha Phi Alpha
Alpha Phi Delta
Alpha Sigma Alpha
Alpha Sigma Phi
Alpha Sigma Tau
Alpha Tau Omega
Alpha Xi Delta
Beta Chi Theta
Beta Sigma Psi
Beta Theta Pi
Chi Omega
Chi Phi
Chi Psi
Delta Chi
Delta Delta Delta
Delta Epsilon Psi
Delta Gamma
Delta Kappa Epsilon
Delta Lambda Phi
Delta Phi
Delta Phi Epsilon
Delta Phi Epsilon
Delta Psi
Delta Sigma Phi
Delta Tau Delta
Delta Tau Delta
Delta Upsilon
Delta Zeta
Gamma Phi Beta
Iota Nu Delta
Iota Phi Theta
Kappa Alpha
Kappa Alpha Psi
Kappa Alpha Theta
Kappa Delta
Kappa Delta Phi
Kappa Delta Rho
Kappa Kappa Gamma
Lambda Chi Alpha
Lambda Phi Epsilon
Lambda Theta Phi
Nu Alpha Kappa
Omega Delta Phi
Phi Beta Sigma 
Phi Gamma Delta
Phi Iota Alpha
Phi Kappa Sigma
Phi Kappa Tau
Phi Lambda Chi
Phi Mu
Phi Mu Delta
Phi Sigma Kappa
Phi Sigma Phi
Phi Sigma Sigma
Pi Beta Phi
Pi Lambda Phi
Psi Upsilon
Sigma Alpha Epsilon
Sigma Alpha Mu
Sigma Beta Rho
Sigma Chi
Sigma Delta Tau
Sigma Kappa
Sigma Lambda Beta
Sigma Nu
Sigma Phi
Sigma Phi Delta
Sigma Phi Epsilon
Sigma Pi
Sigma Sigma Sigma
Sigma Tau Gamma
Tau Delta Phi
Tau Epsilon Phi
Tau Kappa Epsilon
Theta Chi
Theta Delta Chi
Theta Phi Alpha
Theta Xi
Zeta Beta Tau
Zeta Psi
Zeta Tau Alpha
